videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0KUsdR5qOjA,False,True,1,Entertainment,596,4,20230618,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0_kYiOEj080,False,True,1,Gaming,650,5699,20211029,UCpPswAyGzdRwWmiW5oTNnvA,@BIGDONGDONG,
0l7_wqtm20s,False,True,1,Entertainment,2283,10,20230426,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0L9HgPHRApA,False,True,1,Howto & Style,730,325,20221208,UC5YIi2VDos-nOsUe3rga27Q,@user-mn7rd5ns5t,
0LbEnOqvWuk,False,True,1,Gaming,157,50862,20190919,UCLUA5xPUeBairwsxsbGWw5A,@GamePlayHK,
0LdR-5pZEXs,False,True,1,People & Blogs,734,62,20231001,UC8lOqivoCVxw1egipfdD_mg,@InvestmentPlayer,
0LehrfvGe4w,False,True,1,Education,1075,130,20221201,UC9_mc_KHEznR15A-tYbJFvg,@user-qk9ji1gq9s,
0ljjW5pILfQ,False,True,1,News & Politics,738,27432,20230324,UC5S2AVyMmffek3JAevVgB3A,@shishizhengzhi,
0lltjnl6-4k,False,True,1,People & Blogs,593,69090,20200327,UC4Nxh4MMwB_sB0R1ZnvYxsA,@sarawarm8486,
0LqEtOkLFAU,False,True,1,People & Blogs,474,133,20181011,UCao58Y8tmVcClHSwl42cYtQ,@joeytravel,
0lrA4vqbUZw,False,True,1,People & Blogs,1310,133,20230521,UCkPTPJ_Xe17uG2FAT84z6uQ,@gezhiself,
0LtCAoUJfes,False,True,1,Entertainment,654,0,20230613,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0l_uQoKtDfI,False,True,1,People & Blogs,50,5,20220922,UCJwhzHAJAtPtOFtANKJzMOw,@LeoShu,
0LzfpNNcS1U,False,True,1,Entertainment,373,7789,20220614,UCl_sRnVePiKeEkEc1rGZ2kA,@Enewsclub,
0m5gHeqrN5A,False,True,1,Entertainment,681,27,20230404,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0M9wKAbPGgo,False,True,1,Entertainment,986,865,20220702,UCkoVnTbzftGdIu7q_i5KCyw,@ghosttale,
_0MmnJWFMPs,False,True,1,Entertainment,412,5,20230411,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0mts7L5SZXs,False,True,1,People & Blogs,634,21,20231022,UCf4a1ZucF-Tu6Xfg0rvtkwQ,@One-Brush-Wonders,
0mW7QepIAsk,False,True,1,Education,941,20944,20220705,UCCerg0895HYBJauluk-vWwA,@hgfinance,
0nBnC16Lv2I,False,True,1,Entertainment,501,951,20231020,UCWFH29icn9ocV27OQQG2TBg,@tianxingtaluo1111,
0NL-p0seN9k,False,True,1,People & Blogs,483,8670,20220629,UCIoIPROCS0RsqaZ7Um9KUKg,@sharkchannel7029,
0oacm4TTsxQ,False,True,1,Education,287,1040,20231107,UCeeeGbipVKpz23A8_c3I3uA,@crypto_punks,
-0OBWub3cqo,False,True,1,Education,177,55,20210602,UCgzL6Ym5tIUP8N6WREhVwPA,@sawwanchan4601,
0OGrlaAe8Iw,False,True,1,News & Politics,329,1039,20230628,UCUqUtr0w-K8W4AfpbHiYSaQ,@8worldSG,
0ohuVaKGS6Q,False,True,1,News & Politics,227,78,20220913,UCzAcM-UVoLmJ3M4s1pCD_pA,@tippingpointnews7413,
0olcHohexG4,False,True,1,Entertainment,40,1031,20220321,UCqVM38F-yAipid6eLOoqPZQ,@zhai2x,
0onFYoAX42w,False,True,1,People & Blogs,29,1,20230403,UC4isFl6ehe0kiLXRW269G7w,@OneMinuteMovieReviews_,
0o-pNKSEmBM,False,True,1,Entertainment,91,64599,20221009,UCpb7ocaup0xFsoIdUIZVARw,@beast372,
0Ovhxii_0vY,False,True,1,Entertainment,2386,21,20230521,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0OzB_xW-nSY,False,True,1,Howto & Style,31,74,20211125,UCVPAWHP3bQygO_VPegNyA0g,@user-un3jh8gl9i,
0p9u44OHxtU,False,True,1,News & Politics,227,29,20221031,UCzAcM-UVoLmJ3M4s1pCD_pA,@tippingpointnews7413,
0PeBs55DHIY,False,True,1,Travel & Events,68,1144,20210201,UCNlkLXr5L8tI4wYsl5Po-CQ,@user-nj4wo9sk9m,
0PGgh7-52uU,False,True,1,News & Politics,401,5271,20220803,UCiCVDxEu7AH0sTfC4pWzcgA,@guokaihong,
0PknCFveRXk,False,True,1,Travel & Events,98,284,20230818,UCxIJ28_x2z2jQxOilgE5lYA,@wetour,
